record_id,selection_origin,city,address,applicable_segments,similarity_reason,product_type,rooms,internal_area_sqm,balcony_area_sqm,garden_area_sqm,terrace_area_sqm,total_outdoor_area_sqm,floor,entry_floor,upper_floor,number_of_levels,parking_present,parking_count,storage_present,storage_area_sqm,mamad,orientation_count,orientation_directions,price_ils,price_type,observed_date,retrieved_at,listing_model_id,direct_url,source_name,source_title,geography_tier,lat,lng,coordinate_precision,baseline_validation_status,precision_validation_status,conflict_group,notes
ta-archive-yiftach4-garden57,V2_BASELINE,תל אביב-יפו,יפתח 4,APT3,"Archived listing, not treated as current. Exceptionally close geometry: 57 m² internal + 52 m² private garden; 2.5 rooms rather than 2.",garden_apartment,2.5,57,,52,,52,ground,,,,true,,true,7,true,,,2860000,HISTORICAL_MARKETING_PRICE,,2026-09-12,AD_ARCHIVE_YIFTACH4_2.5R,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ad — ארכיון דירות גן תל אביב,ad — ארכיון דירות גן תל אביב,CORE,32.05899,34.79285,NEIGHBORHOOD_CENTROID,CONTEXT_ONLY,DIRECT_ARCHIVE_GEOMETRY_VERIFIED,,"Direct ad archive: 57 m² built + 52 m² private garden; underground parking; 7 m² storage; mamad. Garden faces north, but full apartment orientation is not inferred. Semantic freeze correction: this is archived marketing evidence, not a current ask; publication date is unknown."
ta-v2-anglo-3418,V2_BASELINE,תל אביב-יפו,"יד אליהו, תל אביב-יפו (exact street not exposed in search result)",APT39;APT38,"Direct page reports duplex, 150 m², floor 6/6, ~70 m² balconies, parking, mamad. Exact address coordinate not recovered; centroid is explicitly labeled.",duplex,5,150,70,,70,70,6/6,,6,,true,,,,true,,,2200000,CURRENT_ASKING,,2026-09-12,3418 / internal property 6286,https://www.anglo-saxon.co.il/properties/single/?id=3418,Anglo-Saxon,Duplex for sale — listing 3418,CORE,32.05899,34.79285,NEIGHBORHOOD_CENTROID,DIRECT_LISTING_PRODUCT_VERIFIED,DIRECT_LISTING_VERIFIED,,"Direct Anglo-Saxon page: 5R duplex, 150 m², floor 6/6, 70 m² terraces, parking, mamad. Number of levels and storage are not stated."
ta-v2-anglo-3417,V2_BASELINE,תל אביב-יפו,"יד אליהו, תל אביב-יפו (exact street not exposed in search result)",APT38;APT39;APT36_37,"Direct page reports duplex, 170 m², floor 4 of 5, ~80 m² terraces, parking, 3 air directions. Directions themselves not inferred.",duplex,6,170,80,,80,80,4/5,4,5,,true,,,,true,3,,2500000,CURRENT_ASKING,,2026-09-12,3417 / internal property 61150,https://www.anglo-saxon.co.il/properties/single/?id=3417,Anglo-Saxon,Duplex for sale — listing 3417,CORE,32.05899,34.79285,NEIGHBORHOOD_CENTROID,DIRECT_LISTING_PRODUCT_VERIFIED,DIRECT_LISTING_VERIFIED,,"Direct Anglo-Saxon description explicitly calls it duplex: 170 m² built + 80 m² terraces, floor 4 of 5, parking, mamad, 3 air directions. Directions and number of levels are not explicitly stated."
ta-ask-laguardia-garden-68,V2_BASELINE,תל אביב-יפו,לה גווארדיה,APT1_2,Best current direct garden comparable found: exact 3R product and area inside both APT1_2 subject sizes.,garden_apartment,3,68,,,,,ground,,,,,,,,,,,2650000,CURRENT_ASKING,2026-09-11,2026-09-12,ta-ask-laguardia-garden-68,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&property=3&street=2648,Yad2 — דירות גן ברחוב לה גווארדיה,Yad2 — דירות גן ברחוב לה גווארדיה,CORE,32.05899,34.79285,NEIGHBORHOOD_CENTROID,DIRECT,TARGETED_SEARCH_EXHAUSTED,,"Current Yad2 search still supports 3R garden / 68 m² / ground / ₪2.65M. Numeric garden area, direct listing ID and unit features were not recovered."
net-v2-dekel-6r163-5200,V2_BASELINE,נתניה,"דקל, קריית השרון, נתניה",APT38;APT39;APT36_37,Distinct from v1 160 m² floor-11 observation by stated area/floor. Direct listing ID not recovered.,duplex,6,163,,,,,12,,,,,,,,,,,5200000,CURRENT_ASKING,2026-09-12,2026-09-12,DIRECT_ID_NOT_RECOVERED,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&maxRooms=6&minRooms=6&neighborhood=341&property=7&sort=price-desc,Yad2,6-room duplex in Kiryat Hasharon — Dekel,CORE,32.30321,34.87567,NEIGHBORHOOD_CENTROID,DIRECT_SEARCH_RESULT_PRODUCT_VERIFIED,TARGETED_SEARCH_EXHAUSTED,net-dekel-duplex,"Current search supports distinct 6R duplex / 163 m² / floor 12 / ₪5.20M. Separate 160 m²/floor 11 observations exist at other prices; no stable ID proves identity, so no features/prices were merged."
r1-net-bnei-reich21-4775,V2_BASELINE,נתניה,בני וו. רייך 21,APT38;APT39,Unique R1 direct Madlan listing with stable listing ID. Retained as supplemental duplex evidence; materially larger than APT38/39.; observed_date equals research retrieval date; source publication date unavailable,duplex,6,220,,,,,7,,,,,,,,,,,4775000,CURRENT_ASKING,2026-09-11,2026-09-12,bGX8sM3sDtH,https://www.madlan.co.il/listings/bGX8sM3sDtH,R1 supplemental snapshot,R1 supplemental snapshot,CORE,32.30321,34.87567,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,DIRECT_ID_PRESERVED_CONFLICT_CONTEXT,,"Stable Madlan listing ID bGX8sM3sDtH retained. Current Yad2 also shows Bnei V. Reich 21 around 222 m² / 6R / floor 7 at a different price; treated as possible repost/context, not merged."
net-ask-triplex158,V2_BASELINE,נתניה,קריית השרון / נתניה,APT36_37;APT38;APT39,"Rare live triplex typology surfaced in Kiryat Hasharon/Netanya results, but no asking price exposed and far smaller than APT36_37. Retained for product coverage only.",triplex,6,158,,,,,3,,,,,,,,,,,,CURRENT_ASKING,2026-09-11,2026-09-12,net-ask-triplex158,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&maxRooms=6&minRooms=6&neighborhood=341,Yad2 — 6 חדרים בקריית השרון,Yad2 — 6 חדרים בקריית השרון,CORE,32.30321,34.87567,NEIGHBORHOOD_CENTROID,SIZE_RELAXED,TARGETED_SEARCH_EXHAUSTED,,"Rare triplex label remains valuable, but targeted search did not recover price, exact address, levels, outdoor area or direct listing ID. No inference added."
net-ask-park-duplex140,V2_BASELINE,נתניה,דרך הפארק,APT39,"Direct duplex typology, fewer rooms and somewhat smaller than APT39.",duplex,4,140,,,,,6,,,,,,,,,,,3150000,CURRENT_ASKING,2026-09-11,2026-09-12,net-ask-park-duplex140,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=7,Yad2 — דופלקסים בקריית השרון,Yad2 — דופלקסים בקריית השרון,CORE,32.30321,34.87567,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,TARGETED_SEARCH_EXHAUSTED,,"Current Yad2 still supports 4R duplex / 140 m² / floor 6 / ₪3.15M. A separate archived דרך הפארק 25 140 m² duplex has 18 m² balcony/storage/parking/mamad, but identity is not proven, so features were not transferred."
ash-ask-homeless-penthouse170,V2_BASELINE,אשקלון,שדרות ירושלים / ברנע ב׳,APT38;APT39;APT36_37,"Strong special-product listing: 170 m² + two terraces totaling 105 m²; 2 parking; building 2014. Penthouse, not duplex/triplex.",penthouse,6,170,105,,105,105,5/5,,,1,true,2,true,,true,4,,3440000,CURRENT_ASKING,2026-09-07,2026-09-12,366899,https://m.homeless.co.il/Saletivuch/viewad%2C366899.aspx,Homeless — פנטהאוז 6 חדרים ברנע ב׳,Homeless — פנטהאוז 6 חדרים ברנע ב׳,CORE,31.68751,34.57109,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,DIRECT_LISTING_VERIFIED_PRICE_REFRESHED,,"Direct Homeless page dated 2026-09-07: 170 m² on one level, two terraces totaling 105 m² (75+30), 2 tandem parking, storage, mamad, 4 air directions, ₪3.44M. V2’s older/stale ₪3.90M is not mutated; v3 presents the current direct observation."
ash-ask-wine22-penthouse160,V2_BASELINE,אשקלון,דרך היין 22,APT39;APT38,"Near-exact internal scale to APT39; 40 m² balcony and 3 parking, but penthouse rather than duplex. Listing description states 160 built while page headline uses 200 total.",penthouse,5,160,40,,40,40,19/19,,19,,true,3,true,,true,,,3780000,CURRENT_ASKING,2025-09-15,2026-09-12,16228309,https://www.ad.co.il/ad/16228309,ad — דרך היין 22 פנטהאוז,ad — דרך היין 22 פנטהאוז,CORE,31.68751,34.57109,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,DIRECT_LISTING_VERIFIED,,"Direct ad listing: description resolves 200 m² headline as 160 m² built + 40 m² sun balcony; 3 private parking, large storage, mamad, floor 19/19. Storage area and exact orientations not published."
