market,project,term_type,scope,current_status,summary,primary_source
petah_tikva,רוטשילד 163-165,payment_structure,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""20_80"", ""installments"": [{""percent"": 20, ""timing"": ""contract""}, {""percent"": 80, ""timing"": ""occupancy""}], ""scope"": ""PROJECT_WIDE"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY"", ""source_text"": ""שלמו 20% בחתימה - 80% באכלוס""}",https://www.yad2.co.il/yad1/project/12038
petah_tikva,רוטשילד 163-165,deferred_payment,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""deferred_payment"": true, ""down_payment_pct"": 20, ""deferred_pct"": 80, ""deferred_until"": ""occupancy"", ""interest_terms"": ""not stated"", ""scope"": ""PROJECT_WIDE""}",https://www.yad2.co.il/yad1/project/12038
petah_tikva,רוטשילד 163-165,promotion,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,מבצעים לזמן מוגבל,https://www.yad2.co.il/yad1/project/12038
petah_tikva,זאב ברנדה 22,payment_structure,CAMPAIGN_GENERAL,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""80_20_OPTION"", ""installments_semantics"": ""80/20 option advertised; exact milestone wording not recovered"", ""scope"": ""CAMPAIGN_GENERAL"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY""}",https://www.rehasimbuild.co.il/project/%D7%96%D7%90%D7%91-%D7%91%D7%A8%D7%A0%D7%93%D7%94-22/
petah_tikva,זאב ברנדה 22,deferred_payment,CAMPAIGN_GENERAL,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""deferred_payment"": true, ""scope"": ""CAMPAIGN_GENERAL"", ""deferred_until"": ""key_delivery"", ""interest_terms"": ""see financing_benefit""}",https://www.rehasimbuild.co.il/project/%D7%96%D7%90%D7%91-%D7%91%D7%A8%D7%A0%D7%93%D7%94-22/
petah_tikva,זאב ברנדה 22,financing_benefit,CAMPAIGN_GENERAL,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""mortgage_and_bridge_campaign"", ""mortgage_rate_pct"": 2.99, ""mortgage_rate_type"": ""fixed"", ""mortgage_index_linkage"": ""unlinked"", ""term_years"": 20, ""bridge_financing_until"": ""key_delivery"", ""lender_context"": ""Bank Hapoalim accompanies project"", ""scope"": ""CAMPAIGN_GENERAL"", ""conditions"": ""subject to lender/developer campaign terms; exact loan amount not published in retained evidence"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY""}",https://www.rehasimbuild.co.il/project/%D7%96%D7%90%D7%91-%D7%91%D7%A8%D7%A0%D7%93%D7%94-22/
petah_tikva,שבזי 3-5,promotion,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,עכשיו במבצע / PRESALE,https://www.yad2.co.il/yad1/project/14639
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,payment_structure,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""20_80"", ""installments"": [{""percent"": 20, ""timing"": ""initial/contract""}, {""percent"": 80, ""timing"": ""near_occupancy""}], ""scope"": ""PROJECT_WIDE"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY"", ""source_text"": ""שלמו 20% ואת היתרה בסמוך לאכלוס""}",https://www.tidhar-benhasderot.co.il/lp/
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,deferred_payment,,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""deferred_payment"": true, ""down_payment_pct"": 20, ""deferred_pct"": 80, ""deferred_until"": ""near_occupancy"", ""interest_terms"": ""not stated""}",https://www.tidhar-benhasderot.co.il/lp/
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,financing_benefit,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""contractor_loan"", ""amount_ils"": null, ""interest_terms"": ""not stated"", ""scope"": ""PROJECT_WIDE"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY""}",https://www.tidhar-benhasderot.co.il/lp/
