market,project,field,status,reason
petah_tikva,THE SPOT,payment_structure,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,THE SPOT,financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,THE SPOT,indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,THE SPOT,discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,THE SPOT,delivery,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,רוטשילד 163-165,financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,רוטשילד 163-165,indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,רוטשילד 163-165,discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,רוטשילד 163-165,delivery,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,זאב ברנדה 22,construction_indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,זאב ברנדה 22,explicit_discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,זאב ברנדה 22,campaign_valid_until,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,שבזי 3-5,payment_structure,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,שבזי 3-5,financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,שבזי 3-5,indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,שבזי 3-5,discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
petah_tikva,שבזי 3-5,delivery,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,construction_indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,explicit_discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,campaign_valid_until,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,exact_delivery,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,RAYK EAST SIDE,payment_structure,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,RAYK EAST SIDE,construction_indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,RAYK EAST SIDE,explicit_discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,RAYK EAST SIDE,campaign_valid_until,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,GALIPOLIS,payment_structure,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,GALIPOLIS,financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,GALIPOLIS,indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,GALIPOLIS,explicit_discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
tel_aviv_yad_eliyahu,GALIPOLIS,delivery,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,בראשית פמלי — קריית השרון,payment_structure,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,בראשית פמלי — קריית השרון,financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,בראשית פמלי — קריית השרון,indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,בראשית פמלי — קריית השרון,explicit_discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,בראשית פמלי — קריית השרון,campaign_valid_until,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,גבאי על הפארק,financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,גבאי על הפארק,indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,גבאי על הפארק,explicit_discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,גבאי על הפארק,delivery,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,גבאי על הפארק,20_80_exact_timing,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,THE STRIP נתניה,financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,THE STRIP נתניה,explicit_discount_amount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,THE STRIP נתניה,campaign_valid_until,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
netanya_kiryat_hasharon,THE STRIP נתניה,delivery,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,חלומות ברנע הירוקה,current_published_price,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,חלומות ברנע הירוקה,current_payment_structure,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,חלומות ברנע הירוקה,current_financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,חלומות ברנע הירוקה,current_indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,חלומות ברנע הירוקה,current_promotions,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,פרץ בוני הנגב בעיר היין,exact_payment_structure,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,פרץ בוני הנגב בעיר היין,financing_amount_or_rate,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,פרץ בוני הנגב בעיר היין,indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,פרץ בוני הנגב בעיר היין,explicit_discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,פרץ בוני הנגב בעיר היין,campaign_valid_until,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,JADE אשקלון,payment_structure,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,JADE אשקלון,buyer_financing_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,JADE אשקלון,construction_indexation_benefit,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,JADE אשקלון,explicit_discount,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,JADE אשקלון,current_delivery_date,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
ashkelon_barnea,JADE אשקלון,campaign_valid_until,UNKNOWN,No reliable public evidence found after targeted primary/major-portal check.
